Flat profile:

Each sample counts as 0.01 seconds.
  %   cumulative   self              self     total           
 time   seconds   seconds    calls  ms/call  ms/call  name    
  0.00      0.74     0.00  2000000     0.00     0.00  std::vector<double, std::allocator<double> >::vector(std::vector<double, std::allocator<double> >&&)
  0.00      0.74     0.00  2000000     0.00     0.00  std::vector<double, std::allocator<double> > const (* const*std::__addressof<std::vector<double, std::allocator<double> > const (* const)(std::vector<double, std::allocator<double> >)>(std::vector<double, std::allocator<double> > const (* const&)(std::vector<double, std::allocator<double> >)))(std::vector<double, std::allocator<double> >)
  0.00      0.74     0.00  2000000     0.00     0.00  std::remove_reference<double&>::type&& std::move<double&>(double&)
  0.00      0.74     0.00  1000001     0.00     0.00  std::vector<std::vector<double, std::allocator<double> >, std::allocator<std::vector<double, std::allocator<double> > > >::operator[](unsigned long)
  0.00      0.74     0.00  1000001     0.00     0.00  __gnu_cxx::__enable_if<std::__is_scalar<double>::__value, double*>::__type std::__fill_n_a<double*, unsigned long, double>(double*, unsigned long, double const&)
  0.00      0.74     0.00  1000001     0.00     0.00  double* std::fill_n<double*, unsigned long, double>(double*, unsigned long, double const&)
  0.00      0.74     0.00  1000000     0.00     0.00  Diff_Dahlquist(std::vector<double, std::allocator<double> >)
  0.00      0.74     0.00  1000000     0.00     0.00  Dahlquist(std::vector<double, std::allocator<double> >)
  0.00      0.74     0.00  1000000     0.00     0.00  __gnu_cxx::__normal_iterator<double*, std::vector<double, std::allocator<double> > >::operator++()
  0.00      0.74     0.00  1000000     0.00     0.00  __gnu_cxx::__ops::__iter_less_iter()
  0.00      0.74     0.00  1000000     0.00     0.00  bool __gnu_cxx::operator==<double*, std::vector<double, std::allocator<double> > >(__gnu_cxx::__normal_iterator<double*, std::vector<double, std::allocator<double> > > const&, __gnu_cxx::__normal_iterator<double*, std::vector<double, std::allocator<double> > > const&)
  0.00      0.74     0.00  1000000     0.00     0.00  bool __gnu_cxx::operator!=<double*, std::vector<double, std::allocator<double> > >(__gnu_cxx::__normal_iterator<double*, std::vector<double, std::allocator<double> > > const&, __gnu_cxx::__normal_iterator<double*, std::vector<double, std::allocator<double> > > const&)
  0.00      0.74     0.00  1000000     0.00     0.00  double* std::__uninitialized_fill_n<true>::__uninit_fill_n<double*, unsigned long, double>(double*, unsigned long, double const&)
  0.00      0.74     0.00  1000000     0.00     0.00  std::vector<double, std::allocator<double> >::_M_fill_initialize(unsigned long, double const&)
  0.00      0.74     0.00  1000000     0.00     0.00  std::vector<double, std::allocator<double> >::vector(unsigned long, double const&, std::allocator<double> const&)
  0.00      0.74     0.00  1000000     0.00     0.00  __gnu_cxx::__normal_iterator<double*, std::vector<double, std::allocator<double> > > std::max_element<__gnu_cxx::__normal_iterator<double*, std::vector<double, std::allocator<double> > > >(__gnu_cxx::__normal_iterator<double*, std::vector<double, std::allocator<double> > >, __gnu_cxx::__normal_iterator<double*, std::vector<double, std::allocator<double> > >)
  0.00      0.74     0.00  1000000     0.00     0.00  __gnu_cxx::__normal_iterator<double*, std::vector<double, std::allocator<double> > > std::__max_element<__gnu_cxx::__normal_iterator<double*, std::vector<double, std::allocator<double> > >, __gnu_cxx::__ops::_Iter_less_iter>(__gnu_cxx::__normal_iterator<double*, std::vector<double, std::allocator<double> > >, __gnu_cxx::__normal_iterator<double*, std::vector<double, std::allocator<double> > >, __gnu_cxx::__ops::_Iter_less_iter)
  0.00      0.74     0.00  1000000     0.00     0.00  double* std::uninitialized_fill_n<double*, unsigned long, double>(double*, unsigned long, double const&)
  0.00      0.74     0.00  1000000     0.00     0.00  double* std::__uninitialized_fill_n_a<double*, unsigned long, double, double>(double*, unsigned long, double const&, std::allocator<double>&)
  0.00      0.74     0.00  1000000     0.00     0.00  std::abs(double)
  0.00      0.74     0.00   500000     0.00     0.00  Implicit::newton()
  0.00      0.74     0.00       10     0.00     0.00  std::_Any_data::_M_access()
  0.00      0.74     0.00        8     0.00     0.00  std::_Function_base::_Base_manager<std::vector<double, std::allocator<double> > const (*)(std::vector<double, std::allocator<double> >)>::_M_manager(std::_Any_data&, std::_Any_data const&, std::_Manager_operation)
