Flat profile:

Each sample counts as 0.01 seconds.
  %   cumulative   self              self     total           
 time   seconds   seconds    calls  ms/call  ms/call  name    
  0.00      0.08     0.00  2000001     0.00     0.00  std::_Vector_base<double, std::allocator<double> >::_Vector_base()
  0.00      0.08     0.00  2000001     0.00     0.00  std::_Vector_base<double, std::allocator<double> >::_Vector_base(std::allocator<double> const&)
  0.00      0.08     0.00  2000001     0.00     0.00  double* std::__uninitialized_copy<true>::__uninit_copy<double const*, double*>(double const*, double const*, double*)
  0.00      0.08     0.00  2000001     0.00     0.00  std::vector<double, std::allocator<double> >::vector()
  0.00      0.08     0.00  2000001     0.00     0.00  std::vector<double, std::allocator<double> >::vector(std::initializer_list<double>, std::allocator<double> const&)
  0.00      0.08     0.00  2000001     0.00     0.00  std::iterator_traits<double const*>::difference_type std::__distance<double const*>(double const*, double const*, std::random_access_iterator_tag)
  0.00      0.08     0.00  2000001     0.00     0.00  double* std::__copy_move_a2<false, double const*, double*>(double const*, double const*, double*)
  0.00      0.08     0.00  2000001     0.00     0.00  double* std::uninitialized_copy<double const*, double*>(double const*, double const*, double*)
  0.00      0.08     0.00  2000001     0.00     0.00  std::iterator_traits<double const*>::iterator_category std::__iterator_category<double const*>(double const* const&)
  0.00      0.08     0.00  2000001     0.00     0.00  double* std::__uninitialized_copy_a<double const*, double*, double>(double const*, double const*, double*, std::allocator<double>&)
  0.00      0.08     0.00  2000001     0.00     0.00  double* std::copy<double const*, double*>(double const*, double const*, double*)
  0.00      0.08     0.00  2000001     0.00     0.00  std::iterator_traits<double const*>::difference_type std::distance<double const*>(double const*, double const*)
  0.00      0.08     0.00  2000000     0.00     0.00  __gnu_cxx::__normal_iterator<double*, std::vector<double, std::allocator<double> > >::operator-(long) const
  0.00      0.08     0.00  2000000     0.00     0.00  std::function<std::vector<double, std::allocator<double> > (std::vector<double, std::allocator<double> >)>::operator()(std::vector<double, std::allocator<double> >) const
  0.00      0.08     0.00  2000000     0.00     0.00  std::_Vector_base<double, std::allocator<double> >::_Vector_impl::_Vector_impl(std::_Vector_base<double, std::allocator<double> >::_Vector_impl&&)
  0.00      0.08     0.00  2000000     0.00     0.00  std::_Vector_base<double, std::allocator<double> >::_Vector_impl_data::_Vector_impl_data(std::_Vector_base<double, std::allocator<double> >::_Vector_impl_data&&)
  0.00      0.08     0.00  2000000     0.00     0.00  std::_Vector_base<double, std::allocator<double> >::_Vector_base(std::_Vector_base<double, std::allocator<double> >&&)
  0.00      0.08     0.00  2000000     0.00     0.00  std::_Function_base::_Base_manager<std::vector<double, std::allocator<double> > const (*)(std::vector<double, std::allocator<double> >)>::_M_get_pointer(std::_Any_data const&)
  0.00      0.08     0.00  2000000     0.00     0.00  void std::allocator_traits<std::allocator<double> >::construct<double, double>(std::allocator<double>&, double*, double&&)
  0.00      0.08     0.00  2000000     0.00     0.00  std::_Function_handler<std::vector<double, std::allocator<double> > (std::vector<double, std::allocator<double> >), std::vector<double, std::allocator<double> > const (*)(std::vector<double, std::allocator<double> >)>::_M_invoke(std::_Any_data const&, std::vector<double, std::allocator<double> >&&)
  0.00      0.08     0.00  2000000     0.00     0.00  double& std::vector<double, std::allocator<double> >::emplace_back<double>(double&&)
  0.00      0.08     0.00  2000000     0.00     0.00  void std::vector<double, std::allocator<double> >::_M_realloc_insert<double>(__gnu_cxx::__normal_iterator<double*, std::vector<double, std::allocator<double> > >, double&&)
  0.00      0.08     0.00  2000000     0.00     0.00  std::vector<double, std::allocator<double> >::back()
  0.00      0.08     0.00  2000000     0.00     0.00  std::vector<double, std::allocator<double> >::push_back(double&&)
  0.00      0.08     0.00  2000000     0.00     0.00  std::vector<double, std::allocator<double> >::vector(std::vector<double, std::allocator<double> >&&)
  0.00      0.08     0.00  2000000     0.00     0.00  std::vector<double, std::allocator<double> > const (* const*std::__addressof<std::vector<double, std::allocator<double> > const (* const)(std::vector<double, std::allocator<double> >)>(std::vector<double, std::allocator<double> > const (* const&)(std::vector<double, std::allocator<double> >)))(std::vector<double, std::allocator<double> >)
  0.00      0.08     0.00  2000000     0.00     0.00  std::remove_reference<double&>::type&& std::move<double&>(double&)
  0.00      0.08     0.00  1000001     0.00     0.00  std::vector<std::vector<double, std::allocator<double> >, std::allocator<std::vector<double, std::allocator<double> > > >::operator[](unsigned long)
  0.00      0.08     0.00  1000001     0.00     0.00  double* std::fill_n<double*, unsigned long, double>(double*, unsigned long, double const&)
  0.00      0.08     0.00  1000000     0.00     0.00  Diff_Dahlquist(std::vector<double, std::allocator<double> >)
  0.00      0.08     0.00  1000000     0.00     0.00  Dahlquist(std::vector<double, std::allocator<double> >)
  0.00      0.08     0.00  1000000     0.00     0.00  __gnu_cxx::__normal_iterator<double*, std::vector<double, std::allocator<double> > >::operator++()
  0.00      0.08     0.00  1000000     0.00     0.00  __gnu_cxx::__ops::__iter_less_iter()
  0.00      0.08     0.00  1000000     0.00     0.00  bool __gnu_cxx::operator==<double*, std::vector<double, std::allocator<double> > >(__gnu_cxx::__normal_iterator<double*, std::vector<double, std::allocator<double> > > const&, __gnu_cxx::__normal_iterator<double*, std::vector<double, std::allocator<double> > > const&)
  0.00      0.08     0.00  1000000     0.00     0.00  bool __gnu_cxx::operator!=<double*, std::vector<double, std::allocator<double> > >(__gnu_cxx::__normal_iterator<double*, std::vector<double, std::allocator<double> > > const&, __gnu_cxx::__normal_iterator<double*, std::vector<double, std::allocator<double> > > const&)
  0.00      0.08     0.00  1000000     0.00     0.00  double* std::__uninitialized_fill_n<true>::__uninit_fill_n<double*, unsigned long, double>(double*, unsigned long, double const&)
  0.00      0.08     0.00  1000000     0.00     0.00  std::vector<double, std::allocator<double> >::_M_fill_initialize(unsigned long, double const&)
  0.00      0.08     0.00  1000000     0.00     0.00  std::vector<double, std::allocator<double> >::vector(unsigned long, double const&, std::allocator<double> const&)
  0.00      0.08     0.00  1000000     0.00     0.00  __gnu_cxx::__normal_iterator<double*, std::vector<double, std::allocator<double> > > std::max_element<__gnu_cxx::__normal_iterator<double*, std::vector<double, std::allocator<double> > > >(__gnu_cxx::__normal_iterator<double*, std::vector<double, std::allocator<double> > >, __gnu_cxx::__normal_iterator<double*, std::vector<double, std::allocator<double> > >)
  0.00      0.08     0.00  1000000     0.00     0.00  __gnu_cxx::__normal_iterator<double*, std::vector<double, std::allocator<double> > > std::__max_element<__gnu_cxx::__normal_iterator<double*, std::vector<double, std::allocator<double> > >, __gnu_cxx::__ops::_Iter_less_iter>(__gnu_cxx::__normal_iterator<double*, std::vector<double, std::allocator<double> > >, __gnu_cxx::__normal_iterator<double*, std::vector<double, std::allocator<double> > >, __gnu_cxx::__ops::_Iter_less_iter)
  0.00      0.08     0.00  1000000     0.00     0.00  double* std::uninitialized_fill_n<double*, unsigned long, double>(double*, unsigned long, double const&)
  0.00      0.08     0.00  1000000     0.00     0.00  double* std::__uninitialized_fill_n_a<double*, unsigned long, double, double>(double*, unsigned long, double const&, std::allocator<double>&)
  0.00      0.08     0.00  1000000     0.00     0.00  std::abs(double)
  0.00      0.08     0.00   500000     0.00     0.00  Implicit::newton()
  0.00      0.08     0.00       10     0.00     0.00  std::_Any_data::_M_access()
  0.00      0.08     0.00        8     0.00     0.00  std::_Function_base::_Base_manager<std::vector<double, std::allocator<double> > const (*)(std::vector<double, std::allocator<double> >)>::_M_manager(std::_Any_data&, std::_Any_data const&, std::_Manager_operation)
  0.00      0.08     0.00        6     0.00     0.00  std::vector<std::vector<double, std::allocator<double> >, std::allocator<std::vector<double, std::allocator<double> > > >::size() const
  0.00      0.08     0.00        6     0.00     0.00  std::remove_reference<std::vector<double, std::allocator<double> > const (*&)(std::vector<double, std::allocator<double> >)>::type&& std::move<std::vector<double, std::allocator<double> > const (*&)(std::vector<double, std::allocator<double> >)>(std::vector<double, std::allocator<double> > const (*&)(std::vector<double, std::allocator<double> >))
  0.00      0.08     0.00        5     0.00     0.00  std::_Vector_base<std::vector<double, std::allocator<double> >, std::allocator<std::vector<double, std::allocator<double> > > >::_M_get_Tp_allocator()
  0.00      0.08     0.00        5     0.00     0.00  std::_Function_base::_Base_manager<std::vector<double, std::allocator<double> > const (*)(std::vector<double, std::allocator<double> >)>::_M_destroy(std::_Any_data&, std::integral_constant<bool, true>)
  0.00      0.08     0.00        5     0.00     0.00  std::_Function_base::_Function_base()
  0.00      0.08     0.00        5     0.00     0.00  std::_Function_base::~_Function_base()
  0.00      0.08     0.00        5     0.00     0.00  std::function<std::vector<double, std::allocator<double> > (std::vector<double, std::allocator<double> >)>::~function()
  0.00      0.08     0.00        5     0.00     0.00  std::vector<double, std::allocator<double> > const (*&std::_Any_data::_M_access<std::vector<double, std::allocator<double> > const (*)(std::vector<double, std::allocator<double> >)>())(std::vector<double, std::allocator<double> >)
  0.00      0.08     0.00        4     0.00     0.00  __gnu_cxx::__normal_iterator<std::vector<double, std::allocator<double> >*, std::vector<std::vector<double, std::allocator<double> >, std::allocator<std::vector<double, std::allocator<double> > > > >::base() const
  0.00      0.08     0.00        4     0.00     0.00  std::move_iterator<std::vector<double, std::allocator<double> >*>::base() const
  0.00      0.08     0.00        4     0.00     0.00  std::move_iterator<std::vector<double, std::allocator<double> >*>::move_iterator(std::vector<double, std::allocator<double> >*)
  0.00      0.08     0.00        4     0.00     0.00  std::move_iterator<std::vector<double, std::allocator<double> >*> std::__make_move_if_noexcept_iterator<std::vector<double, std::allocator<double> >, std::move_iterator<std::vector<double, std::allocator<double> >*> >(std::vector<double, std::allocator<double> >*)
  0.00      0.08     0.00        3     0.00     0.00  __gnu_cxx::new_allocator<std::vector<double, std::allocator<double> > >::max_size() const
  0.00      0.08     0.00        3     0.00     0.00  std::function<std::vector<double, std::allocator<double> > (std::vector<double, std::allocator<double> >)>::operator bool() const
  0.00      0.08     0.00        3     0.00     0.00  std::_Function_base::_Base_manager<std::vector<double, std::allocator<double> > const (*)(std::vector<double, std::allocator<double> >)>::_M_clone(std::_Any_data&, std::_Any_data const&, std::integral_constant<bool, true>)
  0.00      0.08     0.00        3     0.00     0.00  std::function<std::vector<double, std::allocator<double> > (std::vector<double, std::allocator<double> >)>::function(std::function<std::vector<double, std::allocator<double> > (std::vector<double, std::allocator<double> >)> const&)
  0.00      0.08     0.00        3     0.00     0.00  double const& std::forward<double const&>(std::remove_reference<double const&>::type&)
  0.00      0.08     0.00        2     0.00     0.00  __gnu_cxx::__normal_iterator<std::vector<double, std::allocator<double> >*, std::vector<std::vector<double, std::allocator<double> >, std::allocator<std::vector<double, std::allocator<double> > > > >::__normal_iterator(std::vector<double, std::allocator<double> >* const&)
